Type,Name,Nr,Country,Amount,Percentage,Price
"Öl, Ale, Amerikansk pale ale (APA)",Oceanbryggeriet,Nr 89509,Sverige,330 ml,"4,8 %",24:10
"Öl, Ljus lager, Internationell stil",Göteborgs Nya,Nr 30189,Sverige,330 ml,"5,7 %",21:20
"Öl, Ale, New England IPA/Hazy IPA",Stigbergets,Nr 36364,Sverige,330 ml,"5,9 %",30:20*
"Öl, Ljus lager, Internationell stil",Göteborgs Nya,Nr 30189,Sverige,330 ml,"5,7 %",20:20*
"Öl, Ale, Amerikansk pale ale (APA)",Göteborgs,Nr 33305,Sverige,330 ml,"5,4 %",22:10*
"Öl, Ale, India pale ale (IPA)",Stigbergets,Nr 35522,Sverige,440 ml,"5,9 %",40:20*
"Öl, Ljus lager, Internationell stil",Stigbergets ÖL,Nr 35913,Sverige,330 ml,"4,5 %",13:10*
"Öl, Ale, Session IPA",Beerbliotek,Nr 31715,Sverige,330 ml,"4,7 %",25:10*
"Öl, Ale, New England IPA/Hazy IPA",Stigbergets,Nr 33307,Sverige,440 ml,"6,5 %",44:20*
"Öl, Imperial porter och stout",Stigbergets Trouble Sleep,Nr 33423,Sverige,330 ml,12 %,49:40*
"Öl, Ale, India pale ale (IPA)",Gothenburg Brew,Nr 34330,Sverige,330 ml,"6,5 %",27:20*
"Öl, Ale, India pale ale (IPA)",Stigbergets,Nr 10212,Sverige,440 ml,"6,5 %",55:-*
"Öl, annan öl, Rököl",Stigbergets,Nr 11842,Sverige,440 ml,5 %,28:80*
"Öl, Ale, India pale ale (IPA)",Göteborgs,Nr 33567,Sverige,330 ml,"6,5 %",27:20*
"Öl, Mörk lager, Dunkel",O/O Dark Nights,Nr 11312,Sverige,330 ml,"4,5 %",20:-*
"Öl, Ale, Saison",O/O,Nr 51438,Sverige,330 ml,5 %,23:10*
"Öl, Ljus lager, Pilsner - tysk stil",Göteborgs Nya Bryggeri,Nr 10410,Sverige,330 ml,"5,4 %",25:20*
"Öl, Ale, New England IPA/Hazy IPA",Gothenburg brew West Coast Fog,Nr 37508,Sverige,330 ml,"6,8 %",34:40*
"Öl, Ale, Session IPA",Gothenburg Brew,Nr 34037,Sverige,330 ml,"4,6 %",24:10*
"Öl, Ljus lager, Pilsner - tysk stil",Gothenburg Brew,Nr 34338,Sverige,330 ml,"4,5 %",23:10*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond,Nr 34632,Sverige,330 ml,6 %,45:20*
"Öl, Ale, New England IPA/Hazy IPA",Stigbergets DH-DDH-WC IPA,Nr 34299,Sverige,440 ml,"6,5 %",47:30*
"Öl, Torr porter och stout",Göteborgs Nya,Nr 37321,Sverige,330 ml,5 %,28:90*
"Öl, Ale, India pale ale (IPA)",O/O,Nr 36498,Sverige,330 ml,"6,4 %",32:90*
"Öl, Ale, Imperial/Dubbel IPA",Stigbergets,Nr 38489,Sverige,440 ml,10 %,60:40*
"Öl, Imperial porter och stout",Stigbergets,Nr 38120,Sverige,330 ml,"12,5 %",50:40*
"Öl, Ale, Amerikansk pale ale (APA)",Stigbergets,Nr 37434,Sverige,440 ml,"5,2 %",37:20*
"Öl, Ale, India pale ale (IPA)",Stigbergets,Nr 37982,Sverige,330 ml,4 %,25:20*
"Öl, Ljus lager, Dortmunder och helles",Stigbergets,Nr 37772,Sverige,330 ml,5 %,22:20*
"Öl, Ale, Imperial/Dubbel IPA",Stigbergets Bryggeri,Nr 38615,Sverige,440 ml,"7,3 %",48:30*
"Öl, Ale, Imperial/Dubbel IPA",Stigbergets,Nr 38314,Sverige,440 ml,"8,5 %",43:40*
"Öl, Syrlig öl, Berliner weisse",Åttonde Mars,Nr 34633,Sverige,330 ml,"4,5 %",36:20*
"Öl, Veteöl, Witbier",Bearded Rabbit,Nr 37150,Sverige,330 ml,"4,5 %",30:10*
"Öl, Ljus lager, Pilsner - tysk stil",Beerbliotek,Nr 37151,Sverige,500 ml,5 %,22:20*
"Öl, Ale, Imperial/Dubbel IPA",Stigbergets,Nr 36369,Sverige,330 ml,8 %,37:20*
"Öl, Ale, Imperial/Dubbel IPA",O/O Brewing,Nr 38648,Sverige,330 ml,8 %,43:20*
"Öl, Ale, Barley wine",Beerbliotek,Nr 38654,Sverige,330 ml,13 %,69:10*
"Öl, Ljus lager, Pilsner - tysk stil",Stigbergets,Nr 1244,Sverige,440 ml,"4,8 %",20:20*
"Öl, Imperial porter och stout",Stigbergets,Nr 38029,Sverige,330 ml,"12,5 %",48:40*
"Öl, Ale, Imperial/Dubbel IPA",Stigbergets,Nr 38697,Sverige,440 ml,"7,8 %",58:90*
"Öl, Ljus lager, Pilsner - tysk stil",O/O Pivot Pils,Nr 1108,Sverige,330 ml,"4,6 %",21:90*
"Öl, Ale, Amerikansk pale ale (APA)",Burger Beer,Nr 32948,Sverige,330 ml,"5,6 %",29:10*
"Öl, Ale, Imperial/Dubbel IPA",O/O Brewing,Nr 38279,Sverige,440 ml,9 %,60:40*
"Öl, Ale, Abt och kvadrupel",Två Feta Grisar,Nr 38693,Sverige,330 ml,"10,5 %",39:90*
"Öl, Ale, India pale ale (IPA)",Två Feta Grisar,Nr 33453,Sverige,330 ml,"6,5 %",31:20*
"Öl, Ale, Amerikansk pale ale (APA)",Två Feta Grisar,Nr 33455,Sverige,330 ml,"5,5 %",27:10*
"Öl, Ale, India pale ale (IPA)",Bearded Rabbit Brewery,Nr 38643,Sverige,330 ml,"6,5 %",38:-*
"Öl, Ale, Trippel",Beerbliotek,Nr 38715,Sverige,330 ml,"8,6 %",39:90*
"Öl, Syrlig öl, Berliner weisse",Beerbliotek,Nr 30998,Sverige,330 ml,"3,8 %",33:10*
"Öl, Ale, India pale ale (IPA)",Beerbliotek,Nr 31399,Sverige,330 ml,6 %,30:20*
"Öl, Torr porter och stout",O/O Porter Porter,Nr 31198,Sverige,330 ml,"5,4 %",29:10*
"Öl, Ale, New England IPA/Hazy IPA",Beerbliotek,Nr 38417,Sverige,500 ml,7 %,53:30*
"Öl, Imperial porter och stout",Bearded Rabbit,Nr 37843,Sverige,330 ml,"11,5 %",47:50*
"Öl, Ale, New England IPA/Hazy IPA",Beerbliotek,Nr 37079,Sverige,330 ml,6 %,30:20*
"Öl, Ljus lager, Pilsner - tysk stil",O/O,Nr 34363,Sverige,330 ml,"5,2 %",29:10*
"Öl, Imperial porter och stout",O/O,Nr 38464,Sverige,330 ml,10 %,50:30*
"Öl, Ale, India pale ale (IPA)",Beerbliotek,Nr 38717,Sverige,500 ml,"6,8 %",52:90*
"Öl, Ale, Session IPA",Två Feta Grisar,Nr 33457,Sverige,330 ml,"4,7 %",28:50*
"Öl, Ljus lager, Pilsner - tysk stil",Beerbliotek,Nr 31483,Sverige,330 ml,"4,6 %",20:10*
"Öl, Ljus lager, Internationell stil",Stigbergets,Nr 38316,Sverige,250 ml,"4,8 %",15:-*
"Öl, Ale, New England IPA/Hazy IPA",O/O Brewing,Nr 34286,Sverige,440 ml,"6,5 %",47:90*
"Öl, Ale, New England IPA/Hazy IPA",All In Brewing,Nr 38653,Sverige,330 ml,"6,5 %",35:-*
"Öl, Ale, Black IPA",Beerbliotek,Nr 38655,Sverige,330 ml,"6,6 %",34:10*
"Öl, Imperial porter och stout",Stigbergets,Nr 38692,Sverige,440 ml,"13,5 %",100:-*
"Öl, Ale, Amerikansk pale ale (APA)",Beerbliotek,Nr 31421,Sverige,330 ml,"5,5 %",28:10*
"Öl, Ale, Amerikansk pale ale (APA)",O/O Pretty Pale Ale,Nr 31335,Sverige,330 ml,"5,5 %",32:20*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond Brewing,Nr 38508,Sverige,330 ml,6 %,45:90*
"Öl, Ale, New England IPA/Hazy IPA",O/O Brewing,Nr 38595,Sverige,440 ml,"6,5 %",50:30*
"Öl, Ale, Imperial/Dubbel IPA",Stigbergets,Nr 38824,Sverige,440 ml,"6,8 %",48:90*
"Öl, Mellanmörk lager, Märzen och wienerstil",O/O,Nr 38158,Sverige,330 ml,"5,8 %",29:10*
"Öl, Mörk lager, Dubbelbock ",Doppelgänger,Nr 38207,Sverige,330 ml,"6,8 %",32:30*
"Öl, Ale, Belgisk mörk ale",Vega Bryggeri,Nr 38265,Sverige,330 ml,"6,3 %",38:20*
"Öl, Torr porter och stout",O/O,Nr 38465,Sverige,330 ml,5 %,35:10*
"Öl, Torr porter och stout",O/O Brewing,Nr 38051,Sverige,440 ml,7 %,43:30*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond,Nr 38057,Sverige,330 ml,"4,5 %",44:20*
"Öl, Ale, New England IPA/Hazy IPA",Bearded Rabbit Brewery,Nr 37299,Sverige,330 ml,"6,2 %",38:30*
"Öl, Mellanmörk lager, Märzen och wienerstil",O/O Gbg Lager,Nr 11214,Sverige,330 ml,"5,5 %",29:10*
"Öl, Ale, India pale ale (IPA)",Vega Bryggeri,Nr 38028,Sverige,440 ml,"6,5 %",49:10*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond,Nr 38205,Sverige,330 ml,6 %,45:20*
"Öl, Imperial porter och stout",Stigbergets,Nr 38315,Sverige,330 ml,"12,5 %",50:40*
"Öl, Ale, India pale ale (IPA)",All In Brewing,Nr 38716,Sverige,330 ml,6 %,35:90*
"Öl, Ale, India pale ale (IPA)",O/O Brewing,Nr 38776,Sverige,330 ml,"5,9 %",33:90*
"Öl, Ale, New England IPA/Hazy IPA",Stigbergets,Nr 38823,Sverige,330 ml,"5,9 %",32:90*
"Öl, Ale, India pale ale (IPA)",Spike Brewery,Nr 38300,Sverige,440 ml,"6,4 %",48:80*
"Öl, Ljus lager, Modern stil/India Pale Lager",Vega Bryggeri,Nr 38027,Sverige,330 ml,"4,9 %",30:10*
"Öl, Veteöl, Hefeweizen",El Pondo,Nr 37296,Sverige,330 ml,"5,5 %",24:20*
"Öl, Syrlig öl, Berliner weisse",Vega Bryggeri,Nr 37586,Sverige,330 ml,"4,7 %",34:10*
"Öl, Syrlig öl, Gose och lichtenhainer",DuckPond Brewing,Nr 38646,Sverige,330 ml,5 %,44:90*
"Öl, Ale, Imperial/Dubbel IPA",Duckpond,Nr 38712,Sverige,440 ml,8 %,55:70*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond,Nr 38713,Sverige,330 ml,5 %,44:90*
"Öl, Imperial porter och stout",Beersmiths,Nr 38295,Sverige,440 ml,"15,5 %",70:90*
"Öl, Ale, India pale ale (IPA)",Beersmiths,Nr 38414,Sverige,500 ml,"4,8 %",39:20*
"Öl, Syrlig öl, Gose och lichtenhainer",DuckPond Brewing,Nr 38646,Sverige,330 ml,5 %,44:90*
"Öl, Ale, Imperial/Dubbel IPA",Duckpond,Nr 38712,Sverige,440 ml,8 %,55:70*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond,Nr 38713,Sverige,330 ml,5 %,44:90*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond,Nr 38283,Sverige,330 ml,"4,7 %",45:10*
"Öl, Ale, India pale ale (IPA)",Spike Brewery,Nr 38598,Sverige,440 ml,"6,2 %",43:20*
"Öl, Mörk lager, Schwarzbier",Vega Bryggeri,Nr 38599,Sverige,330 ml,"4,8 %",30:10*
"Öl, Torr porter och stout",Vega Bryggeri,Nr 38775,Sverige,330 ml,6 %,34:90*
"Öl, Ale, Amerikansk pale ale (APA)",Monkish,Nr 31426,Sverige,330 ml,"4,8 %",30:10*
"Öl, Syrlig öl, Berliner weisse",Aciid,Nr 37484,Sverige,330 ml,"4,5 %",35:20*
"Öl, Ale, Session IPA",Spike,Nr 31031,Sverige,330 ml,5 %,30:10*
"Öl, Ale, New England IPA/Hazy IPA",Double Dry Hopped IPA,Nr 37250,Sverige,440 ml,"6,3 %",45:30*
"Öl, Syrlig öl, Berliner weisse",Spike Brewery,Nr 37972,Sverige,330 ml,"5,8 %",33:20*
"Öl, Ale, India pale ale (IPA)",O/O Evergreen,Nr 35147,Sverige,330 ml,6 %,32:20*
"Öl, Ale, New England IPA/Hazy IPA",Spike Brewery,Nr 38214,Sverige,440 ml,"6,5 %",44:40*
"Öl, Ale, Session IPA",Spike Brewery,Nr 38301,Sverige,440 ml,"6,4 %",48:80*
"Öl, Ale, Amerikansk pale ale (APA)",Vega Bryggeri,Nr 37584,Sverige,440 ml,"5,6 %",40:20*
"Öl, Ale, India pale ale (IPA)",Spike Brewery,Nr 37825,Sverige,330 ml,"6,2 %",33:10*
"Öl, Ale, Imperial/Dubbel IPA",Spike Brewery,Nr 37826,Sverige,330 ml,8 %,39:-*
"Öl, Ale, Session IPA",Vega,Nr 37087,Sverige,330 ml,"4,3 %",30:10*
"Öl, Ale, Barley wine",O/O A.B.W American Barley Wine,Nr 36924,Sverige,330 ml,10 %,49:-*
"Öl, Mellanmörk lager, Märzen och wienerstil",Bearded Rabbit,Nr 36714,Sverige,330 ml,"4,5 %",29:20*
"Öl, Imperial porter och stout",Billdale,Nr 38518,Sverige,330 ml,9 %,39:30*
"Öl, Ale, Imperial/Dubbel IPA",Billdale,Nr 37433,Sverige,330 ml,"7,5 %",37:20*
"Öl, Syrlig öl, Gose och lichtenhainer",Duckpond,Nr 37962,Sverige,330 ml,"4,5 %",45:10*
"Öl, Ale, India pale ale (IPA)",Billdale,Nr 37991,Sverige,330 ml,"5,6 %",29:70*
"Öl, Ljus lager, Pilsner - tysk stil",Floda Pilsner,Nr 35547,Sverige,330 ml,5 %,27:30*
"Öl, Ljus lager, Pilsner - tysk stil",Spike Brewery,Nr 35628,Sverige,330 ml,"4,6 %",27:10*
"Öl, Mörk lager, Dubbelbock ",Beersmiths,Nr 38413,Sverige,500 ml,"6,5 %",36:40*
"Öl, Torr porter och stout",Beersmiths,Nr 38297,Sverige,440 ml,6 %,42:40*
"Öl, Ljus lager, Modern stil/India Pale Lager",Beersmiths,Nr 38721,Sverige,500 ml,"5,2 %",36:90*
"Öl, Ljus lager, Pilsner - tysk stil",Flowers,Nr 34688,Sverige,440 ml,"4,6 %",33:20*
"Öl, Torr porter och stout",Beersmiths,Nr 38524,Sverige,440 ml,"7,9 %",45:50*
"Öl, Ale, Strong ale",O/O,Nr 35268,Sverige,330 ml,8 %,35:20*
"Öl, Ale, Amerikansk pale ale (APA)",Beersmiths,Nr 38204,Sverige,440 ml,"5,2 %",42:20*
"Öl, Ale, Brown ale",Bearded Rabbit Brewery,Nr 38334,Sverige,330 ml,"5,6 %",32:30*
"Öl, Ale, New England IPA/Hazy IPA",Retard Beer,Nr 83248,Sverige,440 ml,"6,1 %",40:40*
"Öl, Ale, Amber ale",Billdale,Nr 37859,Sverige,330 ml,"5,6 %",29:70*
"Öl, Ale, New England IPA/Hazy IPA",Billdale,Nr 38219,Sverige,330 ml,6 %,34:20*
"Öl, Ljus lager, Pilsner - tysk stil",Billdale,Nr 38313,Sverige,330 ml,"4,6 %",28:20*
"Öl, Ale, Imperial/Dubbel IPA",Två Feta Grisar,Nr 33813,Sverige,330 ml,"8,5 %",36:80*
"Öl, Ale, New England IPA/Hazy IPA",Fermenterarna,Nr 38546,Sverige,440 ml,8 %,57:40*
"Öl, Ale, Imperial/Dubbel IPA",Fermenterarna,Nr 38259,Sverige,440 ml,8 %,55:40*
"Öl, Ale, New England IPA/Hazy IPA",Två Feta Grisar,Nr 34946,Sverige,330 ml,"5,6 %",32:40*
"Öl, Veteöl, Weizenbock",Hefenator,Nr 38237,Sverige,330 ml,7 %,32:-*
"Öl, Ale, India pale ale (IPA)",Majornas Kaparkung,Nr 34797,Sverige,330 ml,"6,7 %",32:80*
"Öl, Ale, Amerikansk pale ale (APA)",Majornas Citra,Nr 34813,Sverige,330 ml,"5,3 %",30:10*
"Öl, Imperial porter och stout",Beersmiths,Nr 37822,Sverige,440 ml,"10,2 %",45:10*
"Öl, Ale, Imperial/Dubbel IPA",Duckpond,Nr 38507,Sverige,440 ml,8 %,55:40*
"Öl, Ale, India pale ale (IPA)",Majornas Bryggeri,Nr 38768,Sverige,330 ml,"6,6 %",33:90*
"Öl, Ale, Imperial/Dubbel IPA",Coma,Nr 31565,Sverige,330 ml,"8,5 %",38:40*
"Öl, Ale, Session IPA",Ring Öl,Nr 31552,Sverige,330 ml,"4,8 %",27:10*
"Öl, Ale, India pale ale (IPA)",Beersmiths,Nr 37582,Sverige,440 ml,6 %,40:30*
"Öl, Övrig syrlig öl",Beersmiths,Nr 37651,Sverige,440 ml,"5,5 %",43:80*
"Öl, Torr porter och stout",Två Feta Grisar,Nr 34366,Sverige,330 ml,"5,6 %",27:10*
"Öl, Ale, New England IPA/Hazy IPA",Två Feta Grisar,Nr 37099,Sverige,330 ml,"5,6 %",32:10*
"Öl, Ale, New England IPA/Hazy IPA",Beersmiths,Nr 38045,Sverige,440 ml,"5,8 %",42:90*
"Öl, Ale, New England IPA/Hazy IPA",Beersmiths,Nr 38065,Sverige,440 ml,"8,1 %",45:40*
"Öl, Imperial porter och stout",Majornas,Nr 37157,Sverige,330 ml,"9,5 %",39:90*
"Öl, Ale, Altbier",Mörk Vienna,Nr 36522,Sverige,330 ml,"5,6 %",30:-*
"Öl, Ale, New England IPA/Hazy IPA",Knô daj in,Nr 37403,Sverige,330 ml,"6,6 %",32:80*
"Öl, Ale, Engelsk pale ale och bitter",Majornas EPA,Nr 37417,Sverige,330 ml,"5,5 %",30:10*
